,person,year,labinc,wt,age,hours,male,married,pp
66610,3374,2008,101311.0,589861,46,2600,1,0,1
66611,8587,1989,26392.51,85919,29,2080,1,0,1
66612,7392,2004,32323.29,203125,45,2080,0,0,1
66614,8991,1990,61755.21,83640,30,2080,1,1,1
66620,3575,1987,53743.08,669968,29,2080,1,1,1
66621,3330,2014,128976.4,805792,50,2912,1,1,1
66622,5274,1994,36781.25,395650,34,2370,1,0,1
66625,7047,2008,28367.08,201081,49,2080,1,0,1
66630,8930,1996,51440.23,81836,35,2080,1,1,1
66631,9044,1993,67924.69,121858,29,2344,1,1,1
66632,8318,1993,45283.13,84280,32,2496,1,1,1
66634,8749,1989,29649.34,151872,32,1880,1,1,1
66636,5719,2006,46523.92,352102,44,3120,1,1,1
66637,5694,1996,6951.382,584474,33,1595,1,1,1
66639,1925,2010,7500.0,742862,48,1924,1,1,1
66642,2682,1994,12947.0,154603,30,800,1,1,1
66646,5857,1989,26392.51,90019,29,1580,1,0,1
66649,3330,1991,54452.14,581465,26,2878,1,0,1
66652,9293,1990,33381.2,130550,25,1640,1,0,1
66653,8991,1991,65662.88,82390,31,2080,1,1,1
66656,2974,1992,48182.26,497161,29,3236,1,1,1
66657,11908,1990,43395.55,639979,29,2080,1,1,1
66659,9277,1990,15856.07,60217,28,544,0,1,1
66660,6148,1989,32550.76,200101,27,2080,1,0,1
66663,6304,1996,23634.7,97842,35,2080,1,0,1
66666,3627,2000,75988.2,741272,40,2236,1,1,1
66668,3374,2004,92352.25,617150,42,1240,1,1,1
66673,1383,1987,38387.91,140274,25,2496,1,1,1
66674,6648,2000,41793.51,330241,40,1840,1,1,1
66678,7318,1991,14413.8,313031,26,2100,1,0,1
66679,8278,1996,29195.81,334883,33,2080,1,1,1
66681,8347,1989,66861.02,118742,31,2616,1,0,1
66685,8282,2008,32318.21,167884,49,2288,1,0,1
66692,5813,2006,11901.47,140307,47,1080,0,1,1
66698,11913,1987,19193.96,586123,26,1360,1,1,1
66699,8278,1998,30769.95,354067,35,2600,1,0,1
66709,2439,1998,48161.66,476474,35,2691,1,1,1
66711,4731,2014,24461.29,863970,55,2080,1,1,1
66714,10178,1989,28152.01,81742,29,1480,1,1,1
66715,5915,1990,43395.55,217761,29,2080,1,0,1
66716,4986,1996,83416.59,779389,38,3120,1,1,1
66718,669,1988,31529.06,603248,27,2600,1,0,1
66726,669,1998,39465.8,684862,37,2860,1,0,1
66727,3575,1986,55666.12,672433,27,2080,1,1,1
66728,1932,1994,19126.25,547502,30,1944,0,0,1
66730,9109,2004,20779.26,140982,40,1720,0,0,1
66732,4091,2004,70418.59,726265,45,2080,1,1,1
66735,8964,1998,44148.19,139498,33,2080,1,1,1
66743,2090,1998,37459.07,561697,34,2808,1,1,1
66744,5456,2012,30394.4,661549,48,2448,1,0,1
66746,4759,1991,38436.8,691124,33,2080,1,1,1
66747,8503,2010,43000.0,152990,47,1520,0,0,1
66749,8482,1996,23634.7,195446,37,2080,0,1,1
66750,8503,2008,15196.65,151096,46,1600,0,0,1
66754,9332,1990,78445.8,191411,33,3930,0,0,1
66756,443,1994,25011.25,583351,32,2080,1,1,1
66757,9328,1996,13902.76,193981,34,1360,1,1,1
66759,8991,1987,53743.08,86899,27,2080,1,1,1
66760,4166,1990,25035.89,694474,31,1840,1,0,1
66762,12396,1990,30043.07,268454,32,3424,1,1,1
66765,8433,2006,49769.77,224878,43,3692,1,1,1
66768,11794,1998,41836.43,735932,35,2080,0,0,1
66769,8620,1998,40134.72,199672,37,2600,1,1,1
66770,1500,1988,38719.9,750579,29,2080,1,1,1
66774,5323,1998,34783.42,666499,37,2504,1,0,1
66776,10479,1993,13584.94,105071,29,1592,1,1,1
66784,1717,1991,60858.27,163573,28,2080,1,1,1
66788,11861,1988,15672.34,137985,28,2080,0,0,1
66795,6486,1988,23969.46,168981,26,2133,0,1,1
66798,117,1986,59642.27,703117,26,2991,1,1,1
66799,5869,1986,34791.32,115825,27,2230,1,1,1
66800,3195,2000,44326.45,676785,40,2600,1,1,1
66804,8282,2006,41114.16,162974,48,2288,1,0,1
66805,8107,1992,24868.26,82035,32,1890,1,1,1
66806,424,1994,63263.74,725892,37,2080,1,0,1
66808,5296,2014,33165.35,798109,55,2080,1,0,1
66811,8509,2004,36940.9,123524,43,2000,1,1,1
66812,9327,1992,13988.4,107425,31,1200,1,0,1
66818,9052,2000,8865.29,104451,37,1620,1,0,1
66823,3374,2012,106380.4,635515,50,3432,1,0,1
66825,12205,1994,32367.5,326582,35,2080,1,1,1
66828,12031,1989,31671.01,579595,27,2080,1,1,1
66830,11909,1998,8108.5509999999995,530976,35,1320,0,0,1
66831,3088,2008,47616.18,745140,45,2080,1,0,1
66832,5752,2010,10000.0,127166,47,960,1,1,1
66839,4269,1996,30586.08,123061,37,2080,1,1,1
66842,9112,1996,50049.95,101533,32,2656,1,0,1
66843,12134,1986,25844.98,726141,26,2000,1,1,1
66844,9276,1989,28152.01,83336,28,1790,1,1,1
66846,10525,1996,13902.76,96245,35,1960,1,0,1
66847,5869,1992,32639.59,109050,33,2080,1,1,1
66848,4759,1986,38966.29,681661,27,2080,1,1,1
66850,1602,1998,40134.72,592815,34,2600,1,1,1
66852,3483,1993,25660.44,778985,33,1645,1,0,1
66853,3748,1991,14894.26,698853,33,1520,1,0,1
66861,5307,1988,40563.7,166064,28,2080,1,1,1
66862,8872,1998,30502.38,118467,36,2080,1,0,1
66865,309,1993,73962.44,884985,34,2901,1,1,1
66871,1500,1990,48402.73,789238,31,1240,1,1,1
66872,4327,2014,40535.43,727532,50,2236,1,1,1
66875,1881,2000,50658.8,841116,39,2288,1,0,1
66877,9044,1989,28152.01,118177,25,2405,1,1,1
66886,1836,1998,53512.96,119495,34,2080,1,1,1
66891,392,1985,60396.51,634399,25,2545,1,1,1
66892,8930,2006,61671.24,91011,45,2600,1,1,1
66897,7837,2014,27637.79,261622,53,2252,1,1,1
66905,3592,1991,51249.07,468178,29,2460,1,1,1
66912,8463,1994,68413.12,99849,32,2080,0,0,1
66914,1932,1993,18113.25,540693,29,1920,0,0,1
66916,8468,1985,79830.81,169943,25,2450,1,0,1
66922,10028,2000,37994.1,102319,42,2080,1,1,1
66925,3656,1992,36879.63,453207,29,3290,1,1,1
66928,8857,1990,26704.96,112305,31,960,1,1,1
66937,5745,2004,5194.814,98317,41,2080,1,0,1
66941,4720,1986,55666.12,707472,29,2080,1,1,1
66944,9918,2000,37994.1,133458,38,1960,1,0,1
66945,4759,1987,40307.31,679163,28,2080,1,1,1
66947,3570,1996,51440.23,483332,34,2600,1,1,1
66949,8509,2010,30000.0,118062,48,2080,1,1,1
66950,10192,1990,25035.89,131856,31,2080,1,1,1
66951,10315,1990,40057.43,131758,33,2080,1,1,1
66954,8282,2004,23088.06,169731,46,2444,1,0,1
66955,8587,2000,21529.99,94338,40,2600,1,0,1
66958,10143,1989,22873.5,83747,27,2080,1,1,1
66960,5857,2008,62812.83,107551,48,2080,1,0,1
66962,10479,1991,22421.47,107883,27,2590,1,1,1
66966,7472,1986,47713.82,204727,25,3942,1,1,1
66967,10315,1986,37773.44,128555,28,2080,1,1,1
66968,3713,1988,12906.63,185441,31,1728,1,1,1
66969,5915,1988,46095.12,222780,28,2080,1,1,1
66972,669,2004,32323.29,731816,43,2080,1,0,1
66975,4579,2010,50633.47,596197,48,592,1,0,1
66977,5418,1998,64215.55,503812,35,3224,1,1,1
66978,762,2012,75986.0,119030,52,2080,1,1,1
66987,5004,1992,74604.79,713256,32,1350,1,0,1
