"person","year","labinc","wt","age","hours","male","married","pp"
6627,1984,76740.9,98002,26,2080,0,0,1
9098,1984,10491.18,91147,25,2750,1,0,1
6836,1984,39866.49,230413,26,2180,1,0,0
7979,1984,19662.57,100533,26,2710,0,1,1
4562,1984,13638.54,613103,26,1230,0,0,1
8562,1984,14687.65,64772,26,1107,0,1,0
10441,1984,20982.36,405727,25,1960,1,0,1
6888,1984,18884.13,120521,26,2300,1,0,1
170,1984,14687.65,550452,27,1900,0,0,0
4528,1984,13638.54,616286,26,1860,0,0,0
5996,1984,20982.36,136694,25,2080,1,0,0
1122,1984,29375.31,135746,26,2080,1,1,0
9917,1984,18884.13,131672,25,2125,1,0,0
6121,1984,18884.13,123364,26,2640,1,1,0
3672,1984,20982.36,662379,27,2080,1,0,0
10437,1984,13638.54,150430,25,1665,0,0,0
3793,1984,27277.07,551027,25,2080,0,1,0
1857,1984,25178.84,836093,26,2080,1,1,0
494,1984,20982.36,568246,25,2308,0,1,0
1322,1984,10491.18,681454,26,1958,0,0,0
12444,1984,20982.36,58835,25,2080,0,0,0
4152,1984,28303.11,665508,26,2010,0,1,0
4292,1984,29375.31,571710,26,2080,0,0,0
5119,1984,29375.31,200916,25,1582,0,1,0
699,1984,20982.36,626395,26,1912,0,0,0
5275,1984,46161.2,106214,25,2852,0,0,0
9566,1984,25178.84,134986,26,1920,0,0,0
7409,1984,11540.3,386891,26,1615,0,1,0
9487,1984,23080.6,95666,26,2420,0,1,0
5557,1984,10491.18,575636,26,1160,0,0,0
2999,1984,27277.07,537102,25,3050,1,0,0
9707,1984,9442.063,120269,26,590,0,1,0
12502,1984,6294.709,161161,26,1160,0,0,0
5600,1984,19933.25,518073,26,1610,0,1,0
4822,1984,16785.89,534784,26,2771,0,0,0
9665,1984,14268.01,109222,25,2226,0,0,0
1009,1984,20982.36,167062,26,1905,0,0,0
7200,1984,15317.13,197988,25,2070,1,0,1
12379,1984,8392.945,194814,26,1700,0,0,0
8874,1984,17205.54,132608,27,1770,0,0,0
11931,1984,29375.31,231922,25,2080,0,0,1
2670,1984,9085.363,122668,25,1654,0,1,0
1375,1984,25178.84,177111,26,3054,0,0,1
2901,1984,31473.55,774280,27,2355,0,0,0
2996,1984,18884.13,537102,25,1923,1,1,0
354,1984,33571.78,652437,26,1990,0,0,1
158,1984,35040.55,509101,25,2392,0,1,1
818,1984,76740.9,805842,26,885,1,0,1
7233,1984,32732.49,95235,25,2080,0,1,1
4392,1984,35670.02,605202,26,2080,0,1,0
9728,1984,11838.25,120470,25,990,1,0,1
5273,1984,25178.84,487889,25,2500,0,1,0
1137,1984,25178.84,799330,25,2080,1,0,0
4356,1984,39866.49,140920,25,1841,0,0,0
1504,1984,20982.36,965550,26,1485,1,0,0
788,1984,48259.44,555183,25,2160,0,1,0
7875,1984,23080.6,140414,25,2069,0,0,0
11990,1984,76740.9,702598,26,2080,1,1,0
3792,1984,6294.709,582637,25,2863,1,0,0
8089,1984,34620.9,122827,25,2060,1,1,0
237,1984,6084.886,618344,26,800,0,0,1
2458,1984,8392.945,520414,25,990,0,1,0
7887,1984,30844.07,123189,26,1503,1,1,0
1102,1984,44062.96,906814,26,2600,1,0,1
18,1984,52455.91,936381,26,2474,1,1,0
888,1984,31053.9,767996,25,2295,1,1,1
1199,1984,6294.709,137464,26,830,0,0,0
4119,1984,13531.53,157112,27,1764,1,1,0
7729,1984,31473.55,71455,25,2459,0,0,0
1360,1984,20352.89,625258,26,2080,0,0,0
1249,1984,32103.02,599082,26,2800,1,1,0
125,1984,14687.65,794031,27,2080,1,0,0
6562,1984,37768.25,95590,26,2340,1,1,0
9710,1984,31473.55,102072,26,2240,1,0,0
10469,1984,16785.89,104677,25,1830,1,0,0
3062,1984,76740.9,713271,26,2080,1,0,1
5699,1984,16785.89,662835,25,1227,1,1,1
9751,1984,12589.42,116167,26,2212,1,0,0
4183,1984,25178.84,158379,26,2592,1,1,0
4611,1984,76740.9,638021,25,2300,1,1,1
1505,1984,22136.39,819332,25,2080,1,0,0
1101,1984,20982.36,132508,27,1900,0,1,0
8455,1984,5245.591,85979,25,870,0,1,0
9894,1984,21192.19,153534,26,2080,0,0,0
3533,1984,35670.02,194479,25,2080,1,1,1
3198,1984,10491.18,793820,27,1273,0,1,0
126,1984,43013.85,680254,25,2340,1,0,1
822,1984,37768.25,858267,26,1920,1,1,0
3707,1984,52455.91,747130,25,2206,1,1,0
6550,1984,21821.66,115761,25,2205,1,1,0
5531,1984,50357.67,676067,26,2810,1,1,1
5859,1984,18884.13,76034,26,2134,1,1,1
7295,1984,5035.768,177210,26,916,0,0,0
8090,1984,76740.9,122827,25,2126,1,0,0
7902,1984,12589.42,106669,25,1326,1,0,0
11957,1984,20982.36,805843,26,2080,1,0,0
4596,1984,41964.73,174666,25,3120,1,1,1
11291,1984,39581.13,70368,25,1920,1,1,0
9455,1984,29375.31,57656,26,2505,0,1,0
7725,1984,76740.9,102072,26,2570,1,1,0
3299,1984,8392.945,99770,26,1796,0,0,1
3433,1984,37768.25,632703,26,2080,0,1,0
178,1984,76740.9,601599,25,4828,1,0,0
3243,1984,76740.9,715378,26,2223,0,1,0
8338,1984,20143.07,111868,25,2508,0,1,0
103,1984,17415.36,660463,25,1611,1,0,0
8699,1984,25178.84,383942,26,1880,1,0,0
4088,1984,76740.9,774789,26,2080,1,0,1
7398,1984,31473.55,215021,25,2120,0,1,0
10264,1984,54554.14,109417,26,2164,1,1,0
9923,1984,16785.89,99971,26,1825,0,0,0
3525,1984,37768.25,685336,25,2010,1,0,0
9791,1984,6294.709,134380,25,2582,1,1,1
10147,1984,31473.55,133989,25,2280,1,0,0
4395,1984,31473.55,857166,26,1996,1,0,0
10283,1984,26857.43,114284,26,1924,0,0,0
12077,1984,12589.42,625561,25,1264,1,0,0
5666,1984,33571.78,717439,25,2200,1,1,1
9706,1984,54134.5,102563,26,2080,1,1,0
2086,1984,22545.55,593041,25,2576,1,0,0
8235,1984,33571.78,125574,25,2080,0,0,0
4238,1984,45223.29,688678,25,2080,1,1,0
7343,1984,43013.85,86411,26,2778,1,1,0
2939,1984,33571.78,632206,26,2205,1,0,0
183,1984,41964.73,536678,25,1850,0,1,0
7045,1984,32522.66,96936,26,2080,0,1,0
5698,1984,31473.55,183027,26,1920,1,1,1
