,person,year,labinc,wt,age,hours,male,married,pp
50305,1179,2008,25327.75,781962,45,1544,0,1,0
50307,2571,1989,28152.01,520894,26,2680,1,0,0
50308,7731,1987,46065.5,74569,28,2080,0,0,0
50309,9660,1987,24714.14,120122,29,903,0,1,0
50312,966,1987,29750.63,462519,25,2080,0,1,0
50314,1929,1984,22031.48,676371,26,1976,0,0,0
50315,8719,1987,9596.979,76936,28,1352,0,0,0
50316,10363,1991,46444.47,129317,28,2080,1,0,0
50318,9337,1984,16785.89,175508,25,1804,0,0,0
50319,6455,2000,13931.17,151327,38,2120,0,1,0
50320,918,1998,14235.78,519872,35,1440,0,0,0
50321,5676,1986,13916.53,172941,27,1100,0,0,0
50323,6183,1994,42857.51,151651,31,3480,0,0,0
50325,1379,1989,14076.0,187300,25,1276,1,0,0
50326,7813,1984,37768.25,207219,25,2120,0,1,0
50329,4599,1987,23032.75,477522,25,2080,0,1,0
50331,1159,1987,28790.94,125811,25,2102,0,0,0
50333,3839,1986,24850.95,589188,27,1040,0,1,0
50336,9544,1987,9596.979,144957,29,742,0,0,0
50337,7207,1994,36781.25,164949,35,1975,0,1,0
50338,7648,1984,22329.43,117687,27,2144,0,0,0
50339,3303,1998,33445.6,596657,40,2080,0,1,0
50341,5121,1987,32629.73,625705,28,2230,0,1,0
50342,1360,1992,18651.2,646478,35,2080,0,1,0
50343,9706,1988,30422.78,108370,31,2080,1,1,0
50344,12284,1988,44251.31,88106,27,2080,0,0,0
50345,1511,1988,23969.46,683685,27,2080,0,0,0
50346,7768,1989,24633.01,78278,31,2080,1,0,0
50347,9333,1990,48402.73,168941,31,2080,0,0,0
50348,2834,1990,21697.78,753149,32,1591,0,1,0
50349,72,2000,45592.92,675691,40,2964,0,0,0
50350,3082,2014,29480.31,935301,50,2080,1,1,0
50351,2046,2014,17503.94,780468,50,1680,0,1,0
50352,6491,1990,15021.54,180737,30,2080,1,0,0
50353,955,1989,61582.51,629337,31,2080,1,0,0
50355,158,1987,26871.54,531286,28,1650,0,1,0
50356,1251,1992,26422.53,521578,28,2080,0,1,0
50357,1075,1988,5531.414000000001,821932,30,600,0,0,0
50358,482,1990,60086.15,719201,31,2890,1,1,0
50359,2217,1991,16015.33,537131,33,885,0,0,0
50361,12114,1996,61172.17,540391,35,2080,1,1,0
50362,811,1984,19452.75,610353,25,1560,0,0,0
50365,6042,1988,53175.33,125334,26,4626,0,0,0
50366,6855,1986,15904.61,192724,25,1875,0,1,0
50367,1360,1993,18113.25,642843,36,2080,0,1,0
50369,3786,1988,23969.46,530620,29,1991,0,1,0
50371,1009,1989,25512.76,172083,31,2312,0,0,0
50373,1360,1998,26756.48,679905,41,2080,0,1,0
50374,5743,1985,18240.56,95732,25,2080,0,0,0
50376,10421,1989,26216.55,125642,25,1520,0,0,0
50377,969,1989,19354.5,528510,30,2546,0,0,0
50381,722,1991,41639.87,699096,32,2755,1,1,0
50382,3364,1986,27037.83,552392,26,2040,0,0,0
50384,2175,1989,28152.01,555320,31,2080,0,1,0
50387,2478,1991,8007.6669999999995,465698,31,900,0,1,0
50388,8851,1990,34083.87,90580,27,2080,0,1,0
50389,1276,1994,19126.25,590896,30,1734,0,1,0
50391,966,1991,28827.6,475192,29,2080,0,1,0
50393,1834,1994,60786.61,116417,33,2080,0,1,0
50394,5316,1993,63396.38,452522,31,3752,1,1,0
50395,110,1993,64151.1,726860,36,2132,1,1,0
50397,9652,1998,29432.13,101688,38,2080,0,1,0
50398,3058,1991,17616.87,462802,30,1352,0,1,0
50399,1510,2012,25531.29,853128,49,1800,0,0,0
50400,3082,2012,32294.05,933952,48,2080,1,1,0
50401,2298,1987,57581.88,539457,27,2080,0,0,0
50402,5005,1993,40754.82,672112,30,2112,1,0,0
50403,7622,1993,40754.82,158093,33,2290,0,1,0
50404,1541,1987,30710.33,558723,26,1836,0,1,0
50405,9423,1989,43987.51,105782,26,2019,0,0,0
50406,4919,1991,28827.6,463880,30,2080,0,1,0
50407,10469,1987,30710.33,111433,28,2080,1,0,0
50408,590,2004,43521.0,740661,42,2080,0,1,0
50411,2787,1991,26425.3,527826,27,1963,1,0,0
50412,5386,1986,39761.52,456106,25,3295,0,0,0
50415,5121,1990,35050.25,613353,32,1480,0,1,0
50416,10363,1988,39641.8,143503,25,1916,1,0,0
50417,3615,1991,25784.69,449269,28,2080,1,0,0
50418,1163,1990,13352.48,152355,31,1816,0,1,0
50419,9107,1992,19428.33,101479,34,2080,1,1,0
50420,5037,1984,20772.54,567080,25,2080,0,1,0
50421,4188,1990,7938.048000000001,729691,27,1736,0,0,0
50422,4857,1988,11062.83,626594,31,832,1,1,0
50423,966,1989,29911.51,461193,27,2154,0,1,0
50426,2834,1989,12562.83,741062,30,1407,0,1,0
50430,7096,2012,40000.0,239549,54,2080,0,0,0
50431,670,1993,43773.69,479637,32,1400,0,1,0
50434,4147,1996,19463.87,604560,34,2340,0,1,0
50435,5121,1988,38719.9,615865,30,2080,0,1,0
50436,174,1986,26809.2,125464,25,1973,0,1,0
50437,6732,1993,30188.75,153409,30,2120,1,0,0
50439,3452,1989,31671.01,478058,25,2600,0,1,0
50442,8155,1988,59001.75,106017,28,2080,1,0,0
50443,90,1988,63058.12,628679,29,2015,1,1,0
50445,6763,1991,33632.2,82508,33,2080,0,0,0
50446,2731,1989,21114.0,461267,27,660,0,1,0
50447,7564,1987,23032.75,188359,27,1133,1,0,0
50448,8235,1986,33797.29,136082,28,2080,0,0,0
50449,196,1991,35233.73,561237,27,1676,1,1,0
50450,1008,1984,27277.07,668041,25,2040,0,1,0
50451,10360,1996,35452.05,139226,37,1924,0,1,0
50452,10126,1991,22421.47,104171,33,1530,1,0,0
50453,2598,1996,23634.7,542148,31,2080,1,0,0
50455,1483,2004,16161.64,211184,40,2080,0,0,0
50459,1532,1998,13378.24,828571,34,1830,0,1,0
50461,3875,1991,43241.4,494837,28,2750,1,0,0
50462,4931,2010,25000.0,588000,45,1920,0,1,0
50463,9330,1984,29375.31,101244,25,2035,0,0,0
50464,5743,1988,16594.24,106946,29,2080,0,0,0
50467,1794,1994,6767.749,519923,32,630,0,1,0
50468,3250,2004,8658.023000000001,693458,43,840,0,1,0
50469,212,1992,79267.59,595522,31,2832,1,1,0
50470,5618,2004,46176.13,189900,43,2900,1,1,0
50471,10421,1996,34756.91,131118,32,2130,0,0,0
50472,3889,1986,39363.9,557943,25,2136,0,1,0
50473,303,1996,38927.74,113103,33,2600,1,1,0
