,person,year,labinc,wt,age,hours,male,married,pp
45043,2974,2010,46000.0,600882,46,2080,1,1,1
45044,5135,1989,14076.0,557860,25,2500,0,0,0
45045,8421,1996,33366.64,86995,33,2496,1,1,0
45046,3055,1990,30043.07,131426,26,1755,1,0,1
45047,3767,2006,30294.64,557687,44,1976,0,0,1
45048,8626,1987,25911.84,173262,26,1920,1,0,0
45049,1780,2006,43278.06,650489,43,2288,1,1,1
45050,2742,2000,35461.16,683656,43,2080,0,1,0
45051,3037,1993,63396.38,717534,35,2230,1,1,0
45052,4048,1993,18113.25,706633,34,1544,1,0,0
45053,5558,1992,34193.86,497790,30,2440,1,0,0
45054,6897,2004,61183.37,340845,39,2000,1,1,0
45055,8908,2014,11976.38,130144,55,759,1,0,0
45056,9536,2012,53190.2,195465,55,2080,0,1,0
45057,4402,1985,37494.48,903414,27,2118,1,1,0
45058,10425,2008,50655.51,171827,48,2080,1,1,0
45059,8872,1989,22873.5,104498,26,1960,1,1,0
45060,4222,2004,21073.63,642000,44,2080,0,0,1
45061,9786,1985,41345.27,120250,25,2112,1,0,0
45062,10392,1991,16015.33,89567,29,2090,1,0,0
45063,5958,1994,58849.99,103138,33,2006,1,0,0
45064,11807,1996,48659.68,592322,32,1720,0,1,1
45065,5574,1989,23225.4,469143,29,1820,0,0,1
45066,6187,2014,18425.2,218077,51,2080,1,0,0
45067,7042,1989,10557.0,76037,28,1638,0,1,0
45068,11231,1992,10879.86,281738,32,1640,1,1,0
45069,8722,1991,36835.27,103978,33,1810,1,0,0
45070,9977,1994,24717.0,102968,30,2080,1,0,0
45071,12132,1996,24717.0,171628,37,2080,1,0,0
45072,7366,1987,17082.62,57152,25,1820,1,0,0
45073,7114,2008,15759.94,184589,46,1945,1,0,1
45074,7699,1994,26408.93,101667,35,2080,1,0,0
45075,6860,1988,5682.606,209677,25,1880,1,1,0
45076,7381,1991,35233.73,260859,27,2510,1,1,0
45077,8348,2000,10131.76,106550,36,930,1,1,0
45078,4321,1987,44146.1,115781,25,2080,1,1,1
45079,10455,1994,14712.5,92734,33,2205,1,1,1
45080,8402,1992,59062.12,100055,29,2196,1,0,0
45081,5500,1992,23314.0,536820,28,2445,1,1,1
45082,10005,1991,45643.7,93224,34,1920,1,1,0
45083,5584,1991,28827.6,608603,32,2080,1,0,0
45084,7069,1987,27831.24,105181,25,2176,1,0,0
45085,362,1989,18122.85,751023,31,2288,1,0,1
45086,684,1994,76504.99,679318,34,2600,1,1,1
45087,9332,1991,72069.01,192254,34,3575,0,0,0
45088,797,1993,72069.01,673760,31,2080,1,1,0
45089,8505,1984,7226.326,170881,26,680,0,1,0
45090,5529,1991,40038.34,523798,31,2812,1,1,0
45091,4786,1991,25624.54,479159,27,2924,1,0,1
45092,2760,1990,24034.46,578298,26,2916,1,0,0
45093,2598,2004,24242.47,596754,40,1920,1,1,0
45094,2981,2006,19799.71,543766,43,2080,1,0,1
45095,5080,1991,40038.34,180561,33,1920,1,1,0
45096,3199,2014,30401.57,795204,53,2080,0,1,0
45097,5265,1984,76740.9,111512,25,1960,0,1,0
45098,3557,1991,43401.55,504633,30,1896,0,1,0
45099,5347,1989,43987.51,458741,27,2310,1,1,0
45100,6974,1985,5066.822,74869,26,866,1,0,0
45101,10425,2014,44220.47,179868,55,2080,1,1,0
45102,1408,1990,60086.15,590855,27,2680,1,1,0
45103,5265,1985,50668.21,112614,26,2080,0,1,0
45104,1653,1984,50357.67,839098,26,2068,1,0,0
45105,2202,2000,51925.27,524026,37,2080,1,0,1
45106,2739,1996,57001.34,480454,33,2496,0,1,0
45107,5259,1994,20597.5,523054,34,2080,0,1,0
45108,3953,2008,52681.73,188055,47,2080,0,1,0
45109,1190,2000,34194.69,259752,40,2496,1,1,0
45110,5460,2006,23802.93,209744,47,2080,0,0,0
45111,573,2000,56991.15,897864,39,3536,1,1,1
45112,3953,2000,65856.45,171687,40,2496,0,1,0
45113,5053,2008,46603.07,640269,45,2080,0,0,1
45114,3953,1992,46627.99,170727,32,2330,0,1,1
45115,3556,1992,18340.34,541184,32,1372,0,1,0
45116,3953,1986,35785.36,162544,25,2008,0,1,0
45117,9073,1991,17616.87,117149,33,2000,1,1,0
45118,9450,1985,32427.66,74869,26,2080,1,0,0
45119,3952,2008,50655.51,233316,50,1620,0,0,1
45120,3952,1994,69148.74,201884,36,2280,0,0,1
45121,4487,2000,55724.68,595863,37,2080,0,1,0
45122,7465,1992,21759.73,187991,30,2080,1,0,0
45123,3952,1991,46444.47,203441,33,2352,0,0,1
45124,1520,1989,39588.76,366640,32,2544,1,1,0
45125,3273,1990,5207.465999999999,113747,30,788,0,0,0
45126,1163,1993,7127.564,684989,34,1148,0,0,0
45127,3387,1988,13828.54,193536,29,1745,0,0,1
45128,8348,2012,61738.62,108668,49,1428,1,0,0
45129,2745,2014,32244.09,835231,55,2132,1,1,1
45130,5265,1988,55314.14,115028,29,2120,0,1,0
45131,4810,2008,46603.07,623637,49,2340,0,1,0
45132,3949,2006,42196.11,246335,47,1890,1,1,0
45133,5265,1989,52785.01,116828,30,2080,0,1,0
45134,4143,1988,23969.46,501726,25,2080,1,0,1
45135,5294,1996,44488.85,525098,38,2704,0,1,0
