,person,year,PPamount,labinc,wt,famsize,educ,hours,married
673,4026,1989,25000.0,43107.76,564946,2,13.0,2706,1
674,462,2002,1212.429216,58196.6,643690,3,18.0,2080,1
675,12139,2002,1212.429216,33948.02,614607,4,12.0,3120,1
676,1301,1989,1212.429216,40468.51,614593,3,12.0,2455,0
677,5255,1992,1212.429216,26713.18,483374,3,10.0,2340,1
678,1912,2014,2994.094173,85677.16,660612,3,14.0,2878,1
679,1631,2014,23031.49364,138189.0,676339,1,16.0,3120,0
680,9373,2008,23031.49364,311858.6,157223,2,16.0,3120,1
681,7439,1992,23031.49364,25552.14,229677,4,12.0,2496,1
682,2157,2004,23031.49364,30591.68,908502,4,12.0,2080,1
683,11868,2002,12124.29216,104268.9,699815,4,16.0,2600,1
684,5335,1990,12124.29216,33381.2,682477,5,12.0,2600,1
685,5983,2012,11397.89946,109229.9,241509,1,18.0,2600,0
686,3988,1986,11397.89946,15904.61,177498,4,12.0,1660,1
687,565,1993,11397.89946,30188.75,826364,2,13.0,2080,0
688,70,1991,11397.89946,40038.34,671020,1,18.0,1854,0
689,4307,2002,11397.89946,26673.44,591462,1,14.0,2600,0
690,729,2008,303933.0352,311858.6,827958,3,13.0,3796,1
691,10198,2002,303933.0352,43647.45,189635,8,12.0,1664,1
692,8382,1991,303933.0352,40038.34,94224,1,14.0,2340,0
693,3844,1989,303933.0352,21114.0,487933,3,13.0,1578,1
694,5419,2010,26000.0,122000.0,615704,3,17.0,2860,1
695,3084,2008,709177.0822,311858.6,831767,4,16.0,3120,1
696,3058,2014,17503.935169999993,92125.98,588173,4,16.0,3120,1
697,4058,1989,17503.935169999993,70380.02,542264,3,17.0,2390,1
698,526,2002,17503.935169999993,286133.3,912333,2,12.0,3640,0
699,4356,2004,17503.935169999993,92352.25,722574,1,16.0,2340,0
700,12165,1990,17503.935169999993,46733.67,91056,4,13.0,2548,1
701,4722,1989,17503.935169999993,24633.01,604445,5,12.0,2808,1
702,4722,1987,17503.935169999993,34549.13,621469,3,12.0,2750,1
703,9737,1984,17503.935169999993,46161.2,77592,4,16.0,2600,1
704,5724,1992,17503.935169999993,20205.46,269861,4,11.0,1978,1
705,3524,2002,17503.935169999993,96994.34,522895,3,13.0,3120,0
706,4714,2002,17503.935169999993,40010.16,590199,5,12.0,2080,1
707,5808,1986,17503.935169999993,43737.67,92034,3,12.0,3070,1
708,961,2010,10000.0,140000.0,567581,5,16.0,2600,1
709,3134,1993,10000.0,24151.0,762922,3,12.0,1870,0
710,4356,2006,10000.0,119014.7,722574,1,16.0,2080,0
711,892,1988,10000.0,105325.5,539645,1,12.0,1720,0
712,5769,1986,10000.0,23856.91,117814,4,14.0,1900,0
713,2872,2004,92352.2535,306993.9,664987,2,14.0,3120,1
714,2815,1991,92352.2535,36835.27,556017,4,13.0,2860,1
715,41,1993,92352.2535,152374.7,506760,2,15.0,2750,0
716,4688,2000,92352.2535,145644.0,775468,4,16.0,2860,1
717,1050,1987,92352.2535,41267.01,507938,2,15.0,2280,1
718,3359,2004,92352.2535,86580.23,697214,2,15.0,2704,1
719,2150,1990,92352.2535,35050.25,621939,1,14.0,2260,0
720,3762,1993,92352.2535,43773.69,506515,4,12.0,2973,1
721,4729,2004,92352.2535,43773.69,765048,2,14.0,1872,1
722,5725,1988,92352.2535,14750.44,75936,4,14.0,2080,0
723,5451,1994,92352.2535,54436.24,415305,2,12.0,2985,1
724,41,2000,92352.2535,145644.0,541577,2,15.0,2860,1
725,3380,2010,92352.2535,80000.0,654025,3,14.0,2444,1
726,3389,1990,92352.2535,66762.39,690584,2,12.0,3070,1
727,12259,1991,92352.2535,130494.5,106746,2,16.0,3246,1
728,39,2010,7000.0,60000.0,1074906,3,12.0,2600,1
729,2870,1993,7000.0,60377.5,603290,3,16.0,2340,1
730,4216,1990,7000.0,16690.6,649456,3,12.0,2498,1
731,213,1991,7000.0,61659.04,475062,1,16.0,2562,0
732,4945,1998,7000.0,46823.84,655768,4,12.0,2080,1
733,4611,2012,7000.0,46823.84,960436,2,16.0,2860,1
734,4611,2008,7000.0,46823.84,832161,4,16.0,2100,0
735,4611,1993,7000.0,46823.84,678482,3,16.0,3120,1
736,5611,2002,7000.0,23036.15,242528,1,13.0,3760,0
737,4609,2012,7000.0,152124.0,726777,4,20.0,2080,1
738,4802,1993,7000.0,18113.25,483572,4,13.0,2080,1
739,6776,1996,7000.0,114002.7,144047,4,19.0,3120,1
740,657,1989,7000.0,22873.5,480406,1,16.0,2080,0
741,3405,1993,7000.0,78490.75,639891,2,13.0,2831,1
742,3406,2002,3637.287648,37585.3,720989,3,17.0,2652,0
743,3342,2002,3637.287648,32008.13,581092,3,17.0,2168,0
744,4702,2012,3637.287648,94982.49,659774,4,14.0,2600,1
745,5420,2010,4000.0,116000.0,517326,5,16.0,2600,1
746,6411,1998,4000.0,40134.72,97300,4,17.0,2080,1
747,2191,1996,4000.0,30586.08,761042,3,12.0,2600,1
748,464,2000,4000.0,73455.27,715354,4,14.0,2860,1
749,8661,1989,4000.0,35190.01,101686,1,12.0,2080,0
750,3421,2010,4000.0,96000.0,608344,1,13.0,2080,0
751,5626,2010,7000.0,82000.0,641454,2,12.0,2205,0
752,2286,2002,2424.858432,58196.6,652111,2,16.0,2080,1
753,8907,1993,2424.858432,19622.69,83388,3,12.0,2080,0
754,3152,2000,2424.858432,116515.2,655741,4,18.0,2600,1
755,6821,1988,2424.858432,55314.14,136774,2,16.0,2600,0
756,4569,2000,2424.858432,79787.61,538144,3,12.0,3120,0
757,4565,2014,2424.858432,125291.3,672352,3,16.0,2340,0
758,796,1998,2424.858432,53512.96,648320,3,16.0,2340,1
759,2215,1991,2424.858432,24023.0,483367,2,12.0,2132,0
760,285,1993,2424.858432,30188.75,103286,5,10.0,2592,1
761,1327,1988,2424.858432,14750.44,520324,3,12.0,1616,1
762,1363,2002,2424.858432,151553.7,742441,2,16.0,2600,1
763,1372,1994,2424.858432,41194.99,417122,4,16.0,2080,1
764,1039,2002,2424.858432,46072.31,607250,2,15.0,2080,0
765,819,1990,2424.858432,31378.32,713679,3,14.0,2440,0
766,3848,1986,2424.858432,43737.67,473687,2,16.0,3050,1
767,4829,2010,67000.0,312324.0,519299,3,16.0,2860,1
