,person,year,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black,pp
4927,12092,1993,29434.03,530960.0,3.0,16.0,33.0,2080.0,0.0,1.0,1.0,0.0,1.0
4928,8548,1988,17516.14,77731.0,3.0,8.0,25.0,2080.0,1.0,0.0,1.0,0.0,0.0
4929,3421,1994,36634.12,530524.0,3.0,13.0,33.0,2130.0,0.0,0.0,1.0,0.0,1.0
4930,5017,1998,88296.38,774935.0,5.0,14.0,38.0,2444.0,1.0,1.0,1.0,0.0,1.0
4931,6414,1992,17096.93,106513.0,4.0,12.0,33.0,2080.0,0.0,0.0,0.0,1.0,1.0
4932,8000,1993,17096.93,183730.0,5.0,16.0,36.0,1165.0,0.0,1.0,0.0,1.0,1.0
4933,17,1988,44251.31,1007503.0,2.0,13.0,31.0,2476.0,1.0,0.0,1.0,0.0,0.0
4934,4805,1992,49736.52,532825.0,2.0,14.0,30.0,2350.0,1.0,0.0,1.0,0.0,1.0
4935,4881,1989,49266.01,617005.0,4.0,14.0,31.0,2080.0,1.0,1.0,1.0,0.0,0.0
4936,5429,1991,25624.54,524431.0,1.0,12.0,27.0,2292.0,0.0,0.0,1.0,0.0,0.0
4937,12075,2010,312324.0,706254.0,1.0,16.0,47.0,3120.0,1.0,0.0,1.0,0.0,1.0
4938,5727,2006,39491.23,81580.0,3.0,14.0,42.0,2600.0,1.0,1.0,0.0,0.0,0.0
4939,2547,2000,60790.56,219030.0,4.0,12.0,36.0,2080.0,1.0,0.0,0.0,1.0,0.0
4940,9381,1991,60858.27,112310.0,5.0,14.0,33.0,1820.0,0.0,1.0,0.0,0.0,0.0
4941,8722,1985,32427.66,98554.0,1.0,12.0,26.0,2080.0,1.0,0.0,0.0,0.0,0.0
4942,11858,1998,42810.36,1043956.0,3.0,12.0,40.0,1870.0,0.0,1.0,1.0,0.0,1.0
4943,11858,2006,25966.84,1086827.0,4.0,12.0,48.0,1040.0,0.0,1.0,1.0,0.0,0.0
4944,12156,1993,41509.54,80192.0,1.0,16.0,32.0,2210.0,1.0,0.0,0.0,1.0,1.0
4945,9283,1991,41509.54,68146.0,6.0,8.0,28.0,2080.0,1.0,0.0,0.0,0.0,0.0
4946,1540,2000,63323.5,133122.0,1.0,16.0,37.0,2392.0,0.0,0.0,0.0,0.0,1.0
4947,821,2006,36786.35,798193.0,1.0,18.0,48.0,990.0,0.0,0.0,1.0,0.0,0.0
4948,2497,1990,40057.43,618763.0,2.0,12.0,26.0,2404.0,1.0,1.0,1.0,0.0,0.0
4949,6765,1990,35050.25,114333.0,2.0,12.0,27.0,2080.0,0.0,0.0,0.0,0.0,0.0
4950,1629,2000,50988.08,524342.0,4.0,12.0,38.0,2080.0,0.0,1.0,1.0,0.0,1.0
4951,3817,1991,74722.75,607780.0,1.0,18.0,33.0,2695.0,0.0,0.0,1.0,0.0,1.0
4952,1929,2010,84700.0,794389.0,2.0,14.0,52.0,2600.0,0.0,1.0,1.0,0.0,1.0
4953,392,2000,67122.91,777687.0,4.0,12.0,40.0,2340.0,1.0,1.0,1.0,0.0,1.0
4954,1175,2000,126647.0,725639.0,1.0,19.0,42.0,2600.0,0.0,0.0,1.0,0.0,1.0
4955,12254,2000,36727.63,216619.0,5.0,14.0,37.0,2472.0,0.0,0.0,0.0,1.0,0.0
4956,12254,1998,29833.47,201068.0,5.0,13.0,35.0,1640.0,0.0,0.0,0.0,1.0,0.0
4957,6276,2012,61738.62,181941.0,2.0,15.0,49.0,2080.0,0.0,1.0,0.0,1.0,1.0
4958,2849,2002,24248.58,758176.0,1.0,16.0,41.0,1560.0,0.0,0.0,1.0,0.0,0.0
4959,3836,2014,101338.6,605472.0,3.0,19.0,53.0,2120.0,0.0,0.0,1.0,0.0,0.0
4960,10091,1987,34549.13,98983.0,4.0,12.0,30.0,2000.0,1.0,1.0,1.0,0.0,0.0
4961,967,1996,44488.85,496158.0,4.0,12.0,33.0,1989.0,0.0,1.0,1.0,0.0,1.0
4962,3810,1993,49811.44,513986.0,2.0,12.0,30.0,2390.0,1.0,1.0,1.0,0.0,1.0
4963,4360,2002,80020.33,852116.0,3.0,16.0,45.0,2340.0,1.0,1.0,1.0,0.0,1.0
4964,2346,1986,30457.32,628900.0,2.0,13.0,28.0,2080.0,0.0,1.0,1.0,0.0,0.0
4965,149,1990,42500.94,564924.0,2.0,12.0,26.0,1872.0,0.0,1.0,1.0,0.0,1.0
4966,3150,2010,148200.0,695063.0,4.0,16.0,51.0,2444.0,0.0,1.0,1.0,0.0,1.0
4967,9112,1991,37853.84,96496.0,3.0,15.0,27.0,2896.0,1.0,0.0,0.0,1.0,0.0
4968,8347,1988,33188.48,124494.0,2.0,13.0,31.0,2080.0,1.0,0.0,0.0,0.0,1.0
4969,2470,1993,69434.13,409776.0,5.0,12.0,30.0,2495.0,1.0,1.0,1.0,0.0,0.0
4970,4495,1990,50071.79,598618.0,1.0,12.0,30.0,2140.0,0.0,0.0,1.0,0.0,1.0
4971,29,1986,31345.99,657997.0,3.0,12.0,25.0,1976.0,0.0,0.0,1.0,0.0,1.0
4972,5762,1992,21759.73,182628.0,1.0,15.0,32.0,2161.0,0.0,0.0,0.0,0.0,0.0
4973,2463,1985,40534.57,566152.0,2.0,15.0,27.0,2695.0,1.0,1.0,1.0,0.0,0.0
4974,12080,1998,66891.2,620408.0,4.0,12.0,39.0,3239.0,1.0,1.0,1.0,0.0,0.0
4975,2392,1996,33366.64,583361.0,4.0,11.0,36.0,2080.0,1.0,1.0,1.0,0.0,1.0
4976,778,2012,70287.05,1032781.0,5.0,17.0,48.0,2340.0,1.0,1.0,1.0,0.0,1.0
4977,260,2002,58196.6,697079.0,4.0,14.0,41.0,2080.0,1.0,1.0,1.0,0.0,1.0
4978,11873,2008,70917.71,721334.0,3.0,14.0,48.0,2340.0,0.0,1.0,1.0,0.0,1.0
4979,11873,2012,81210.03,754341.0,2.0,14.0,53.0,2340.0,0.0,1.0,1.0,0.0,1.0
4980,5529,1987,38387.91,540416.0,4.0,10.0,27.0,1784.0,1.0,1.0,1.0,0.0,0.0
