person,year,PPamount,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black
4808,2014,1105.511695,71397.63,646185,3,12,54,2340,1,1,1,0
1143,1987,,67178.85,724831,4,16,27,2280,1,0,1,0
9744,1986,,49701.89,79722,2,16,28,2552,1,1,1,0
1143,1994,,149557,757880,2,16,34,2580,1,1,1,0
11920,2008,86114.35998,311858.6,614144,4,16,44,2184,1,1,1,0
1636,1992,,43519.46,462659,2,12,29,2871,1,0,1,0
4773,2002,,12124.29,610205,4,7,39,2600,1,1,1,0
4603,1993,,84528.51,552034,2,12,32,2509,1,1,1,0
1143,1986,,39761.52,699545,5,16,26,2120,1,0,1,0
39,2006,6491.709412,72490.76,988361,3,12,48,3130,1,1,1,0
3874,1993,,93585.13,548446,4,16,32,2860,1,1,1,0
1635,1993,,30120.83,467314,1,12,30,2080,1,0,1,0
569,1993,,27169.88,680470,2,12,33,3300,1,0,1,0
357,1989,,45747.01,635511,1,16,31,2482,1,0,1,0
4986,2006,,302747.4,916013,3,12,48,4180,1,1,1,0
9,2008,,50655.51,821974,4,14,44,2600,1,1,1,0
5701,2014,23952.75339,165826.8,663622,2,17,51,2600,0,1,1,0
12189,2014,,61201.13,271469,1,12,53,2290,1,0,0,1
2049,1996,,34756.91,521046,3,16,34,2340,0,1,1,0
3533,1993,,152374.7,1118958,4,14,35,2568,1,1,1,0
1606,1994,,44137.49,544171,4,12,35,2480,0,1,1,0
3505,2000,,96251.72,688973,4,12,40,2860,0,1,1,0
570,1989,,52785.01,719909,2,12,25,3326,1,1,1,0
7887,1988,,49782.73,130289,4,12,30,2288,1,1,1,0
1848,1987,,28790.94,123256,3,13,25,2080,0,1,0,0
195,2004,,306993.9,766936,5,18,45,2600,1,1,1,0
7475,1988,,39641.8,185193,2,16,25,2496,0,1,0,1
5724,1998,,40134.72,290380,3,11,38,1976,0,1,0,0
3910,2006,,43278.06,767999,4,16,42,2080,1,1,1,0
4705,1993,,93585.13,475514,1,16,32,3720,0,0,1,0
827,2014,87519.67584,341155.4,1011114,3,20,55,2310,1,1,1,0
3487,1989,,23753.25,533219,5,12,29,1377,0,1,1,0
11,1989,,80937.02,817792,1,16,30,3120,1,0,1,0
3142,2004,5772.015844,109668.3,581453,6,18,40,2860,1,1,1,0
1641,1993,,30188.75,146208,5,12,35,2201,1,1,0,0
3380,2012,,87383.9,738874,2,14,52,2392,1,1,1,0
77,2002,7274.575296,82445.19,787564,1,16,38,2340,0,0,1,0
3463,1994,,35310,518297,4,16,30,2080,1,0,1,0
1631,2012,21845.97397,142473.8,627269,1,16,50,2496,1,0,1,0
2239,2010,,150000,565099,1,16,47,2080,1,0,1,0
3171,1991,,130494.5,396756,1,18,28,2322,1,0,1,0
4297,2000,,101317.6,538152,5,13,39,3120,1,1,1,0
573,1989,,31671.01,763535,2,17,28,2080,1,1,1,0
12249,1986,,36282.38,158410,2,16,27,2080,0,1,1,0
2637,1987,,113987.2,499585,1,16,26,2600,1,0,1,0
1631,2008,24314.64282,155005.8,582208,1,16,45,3120,1,0,1,0
4495,1988,,51626.53,602680,1,12,28,1864,0,0,1,0
126,1987,,50656.7,739053,4,14,28,2941,1,1,1,0
9884,2010,,27000,83980,4,12,50,1880,1,1,0,0
5091,1991,,29628.37,629015,2,16,27,2187,0,1,1,0
1630,1993,,49811.44,527816,2,15,29,3064,1,1,1,0
1630,1992,,41654.34,529065,2,15,28,3120,1,1,1,0
6110,2000,,69655.85,217882,1,16,42,2600,1,0,0,1
799,2010,,63400,734410,5,12,46,2340,1,1,1,0
8959,2002,,26673.44,112649,4,11,42,3360,1,1,0,1
528,2008,26340.86305,98271.68,628550,1,12,44,3640,0,0,1,0
6353,1991,,17777.02,107326,2,13,31,2460,0,0,0,1
5669,1993,,69434.13,563974,2,12,35,2080,0,0,1,0
4508,1994,,63549.16,732999,1,16,36,2200,1,0,1,0
799,2006,,57343.43,734875,5,12,42,2424,1,1,1,0
2215,1996,,26415.25,524898,3,12,35,2100,0,1,1,0
7720,1998,,93647.67,364214,5,17,34,3016,1,1,0,0
3278,1986,,48707.86,123129,1,19,28,2152,0,0,1,0
39,2014,,59881.88,1227842,3,12,55,2600,1,1,1,0
8203,1986,,85723.84,123392,6,14,28,2250,1,1,0,0
6353,1986,,13916.53,104251,2,13,25,2080,0,0,0,1
4819,1986,,29423.52,514549,1,12,27,2080,0,0,1,0
772,1992,,55953.59,955261,1,12,32,3536,1,0,1,0
772,1991,,56053.67,956375,1,12,31,3434,1,0,1,0
3294,2002,6062.14608,118818.1,584518,1,18,42,2080,0,0,1,0
4871,1987,,34549.13,436110,2,16,26,2080,0,1,1,0
1301,1991,,8007.667,632368,3,12,32,2156,1,0,1,0
3580,1988,,25075.74,651166,2,12,28,2058,1,1,1,0
3381,2014,,73700.78,789481,2,12,53,2600,1,1,1,0
3956,1989,,50145.76,174136,1,13,27,2860,1,0,0,1
5419,2008,18235.98211,99284.79,608503,5,17,46,2600,1,1,1,0
